"team ID","week","passing score","rushing score","win score","defense score","first down","special teams","total score"
"2184","1","8.8","12.86","-14.600000000000001","-4.724000000000001","15.2","24.78","42.316"
"113","1","41.9","38.49","14.600000000000001","15.698999999999998","7.800000000000001","8.65","127.13900000000001"
"2504","1","32.95","13.280000000000001","-5.6","-3.7490000000000006","8.6","11.520000000000001","57.001000000000005"
"242","1","6.8500000000000005","34.0","5.6","-2.528000000000001","15.1","20.900000000000002","79.92200000000001"
"62","1","42.400000000000006","22.310000000000002","6.8","-9.101","16.3","16.41","95.119"
"36","1","58.2","6.050000000000001","-6.8","-8.489","19.2","11.98","80.141"
"2751","1","9.8","34.17","9.4","1.705","6.6000000000000005","21.439999999999998","83.115"
"166","1","15.95","-0.29000000000000004","-9.4","-7.633000000000001","3.0000000000000004","23.0","24.627"
"2116","1","51.6","33.16","12.8","-5.112","21.299999999999997","4.03","117.77799999999999"
"41","1","20.6","17.46","-12.8","-9.084","14.3","13.85","44.326"
"166","1","15.95","-0.29000000000000004","-9.4","-7.633000000000001","3.0000000000000004","23.0","24.627"
"135","1","25.85","33.22","12.600000000000001","8.392999999999999","15.9","25.400000000000002","121.36300000000001"
"2115","1","8.350000000000001","15.080000000000002","-12.2","-8.084000000000001","9.3","17.74","30.186"
"2050","1","38.7","34.28","12.2","-1.9470000000000003","10.0","7.240000000000001","100.473"
"338","1","17.200000000000003","15.56","-5.8","0.6449999999999996","11.9","12.86","52.365"
"2247","1","30.9","6.78","5.8","-1.894000000000001","7.1","18.65","67.336"
"2545","1","43.7","3.83","-5.6","-6.318000000000001","5.2","17.1","57.912"
"2433","1","30.6","22.83","5.6","0.07099999999999973","13.9","9.64","82.641"
"77","1","14.85","32.72","5.8","1.1259999999999994","10.5","21.029999999999998","86.026"
"2509","1","16.75","22.35","-5.8","-5.817","7.600000000000001","16.86","51.943000000000005"
"2623","1","21.45","5.87","-13.200000000000001","-5.444000000000001","4.4","29.16","42.236"
"197","1","46.45","40.09","13.200000000000001","4.58","16.1","14.870000000000001","135.29000000000002"
"2542","1","-2.55","8.13","-15.4","-7.316000000000001","2.0","21.640000000000004","6.504000000000001"
"5","1","27.1","38.79","15.4","15.574000000000002","10.2","13.31","120.37400000000001"
