"match ID","team ID","passing score","rushing score","win score","defense score","first down","special teams","total score"
"34","2","22.85","12.61","7.6","-4.5310000000000015","17.5","9.16","65.18900000000001"
"34","4","0.0","12.23","6.4","-2.7289999999999996","4.2","0.0","20.101000000000003"
"35","5","10.900000000000002","13.95","5.6","-1.0450000000000004","13.4","13.840000000000002","56.645"
"35","7","0.0","21.4","10.6","15.058","8.9","14.98","70.938"
"36","6","20.5","38.35","9.8","-7.01","0.0","18.69","80.33000000000001"
"36","8","11.95","3.85","14.8","-4.868","6.800000000000002","0.0","32.532000000000004"
"37","1","16.2","11.27","-9.8","-1.7400000000000004","4.0","9.72","29.65"
"37","4","27.75","10.08","10.2","1.6449999999999994","7.5","10.63","67.80499999999999"
"38","3","22.3","11.18","9.8","2.73","6.4","7.51","59.919999999999995"
"38","2","22.65","16.330000000000002","8.0","5.053","16.1","16.53","84.66300000000001"
"39","5","0.9500000000000002","0.0","5.8","-4.4910000000000005","12.7","9.23","24.189"
"39","8","7.850000000000001","5.420000000000001","17.200000000000006","-2.2790000000000004","15.1","14.82","58.11100000000001"
"40","6","17.85","29.48","0.0","-4.862","16.2","14.8","73.46799999999999"
"40","7","6.950000000000001","21.32","-5.8","-1.2640000000000005","17.1","15.87","54.176"
